Survived,Pclass,Age,Fare,EmbarkedC,EmbarkedS,Female,SibSpYes,ParchYes
1,1,39.0,79.65,0,1,1,1,1
0,1,29.812625250501004,52.0,0,1,0,0,0
1,2,42.0,13.0,0,1,0,0,0
0,1,2.0,151.55,0,1,1,1,1
1,1,28.0,35.5,0,1,0,0,0
0,2,39.0,26.0,0,1,0,0,0
0,3,31.0,7.75,0,0,0,0,0
0,3,32.0,8.3625,0,1,0,0,0
0,2,35.0,10.5,0,1,0,0,0
1,3,29.812625250501004,23.25,0,0,1,1,0
0,2,21.0,73.5,0,1,0,0,0
0,3,29.812625250501004,7.225,1,0,0,0,0
0,3,16.0,9.5,0,1,0,0,0
0,3,27.0,7.8958,0,1,0,0,0
1,1,36.0,187.66634567385893,1,0,0,0,1
1,3,27.0,6.975,0,1,0,0,0
1,2,7.0,26.25,0,1,1,0,1
0,3,22.0,9.0,0,1,0,0,0
1,2,34.0,10.5,0,1,1,0,0
0,1,29.812625250501004,27.7208,1,0,0,0,0
0,1,27.0,187.66634567385893,1,0,0,0,1
0,1,65.0,61.9792,1,0,0,0,1
1,3,24.0,16.7,0,1,1,0,1
1,3,32.0,56.4958,0,1,0,0,0
1,1,23.0,113.275,1,0,1,1,0
